time,symbol,price,day_volume
2022-10-19 23:59:39+00,TSLA,207.975,
2022-10-19 23:59:39+00,AAPL,143.04,
2022-10-19 23:59:38+00,AMD,56.72,
2022-10-19 23:59:37+00,AAPL,143.055,
2022-10-19 23:59:35+00,TSLA,208.045,
2022-10-19 23:59:35+00,SQ,53.67,
2022-10-19 23:59:35+00,T,15.66,
2022-10-19 23:59:34+00,SQ,53.75,
2022-10-19 23:59:34+00,UBER,27.34,
2022-10-19 23:59:34+00,UBER,27.34,
2022-10-19 23:59:34+00,UBER,27.34,
2022-10-19 23:59:33+00,NVDA,119.05,
2022-10-19 23:59:33+00,MSFT,234.45,
2022-10-19 23:59:33+00,T,15.66,
2022-10-19 23:59:33+00,T,15.66,
2022-10-19 23:59:31+00,MO,44.65,
2022-10-19 23:59:31+00,MO,44.65,
2022-10-19 23:59:31+00,HD,275.36,
2022-10-19 23:59:31+00,ORCL,66.49,
2022-10-19 23:59:31+00,HD,275.36,
2022-10-19 23:59:31+00,ORCL,66.49,
2022-10-19 23:59:31+00,ORCL,66.49,
2022-10-19 23:59:31+00,MO,44.65,
2022-10-19 23:59:30+00,NFLX,270.45,
2022-10-19 23:59:30+00,T,15.65,
2022-10-19 23:59:30+00,MU,52.58,
2022-10-19 23:59:30+00,INTC,25.86,
2022-10-19 23:59:30+00,KO,55.96,
2022-10-19 23:59:30+00,IBM,126.01,
2022-10-19 23:59:30+00,PG,129.54,
2022-10-19 23:59:30+00,GM,33.58,
2022-10-19 23:59:30+00,PFE,43.1,
2022-10-19 23:59:30+00,CRM,152.26,
2022-10-19 23:59:30+00,JPM,116.38,
2022-10-19 23:59:30+00,VZ,36.57,
2022-10-19 23:59:30+00,PFE,43.1,
2022-10-19 23:59:30+00,GM,33.58,
2022-10-19 23:59:30+00,JPM,116.38,
2022-10-19 23:59:30+00,KO,55.96,
2022-10-19 23:59:30+00,CRM,152.26,
2022-10-19 23:59:30+00,PG,129.54,
2022-10-19 23:59:29+00,BA,137.75,
2022-10-19 23:59:29+00,NVDA,118.93,
2022-10-19 23:59:29+00,TSLA,207.935,
2022-10-19 23:59:28+00,AMZN,114,
2022-10-19 23:59:27+00,T,15.65,
2022-10-19 23:59:27+00,NFLX,270.4,
2022-10-19 23:59:27+00,TSLA,207.9,
2022-10-19 23:59:27+00,AAPL,143.055,
2022-10-19 23:59:27+00,AMD,56.74,
2022-10-19 23:59:27+00,CVX,168.22,
2022-10-19 23:59:27+00,CVX,168.22,
2022-10-19 23:59:24+00,AMD,56.78,
2022-10-19 23:59:23+00,NFLX,270.5,
2022-10-19 23:59:23+00,TSLA,207.75,
2022-10-19 23:59:23+00,AMZN,113.95,
2022-10-19 23:59:23+00,NVDA,119.05,
2022-10-19 23:59:22+00,MSFT,235.4,
2022-10-19 23:59:21+00,SNAP,10.92,
2022-10-19 23:59:20+00,AAPL,143.05,
2022-10-19 23:59:19+00,IBM,126.05,
2022-10-19 23:59:19+00,IBM,126.05,
2022-10-19 23:59:19+00,IBM,126.05,
2022-10-19 23:59:19+00,IBM,126.05,
2022-10-19 23:59:18+00,TSLA,207.8,
2022-10-19 23:59:18+00,CVX,168.5,
2022-10-19 23:59:17+00,SNAP,10.88,
2022-10-19 23:59:17+00,SNAP,10.88,
2022-10-19 23:59:17+00,SNAP,10.88,
2022-10-19 23:59:16+00,TSLA,207.8,
2022-10-19 23:59:14+00,SNAP,10.86,
2022-10-19 23:59:14+00,AMZN,113.85,
2022-10-19 23:59:13+00,TSLA,207.7,
2022-10-19 23:59:13+00,NVDA,118.93,
2022-10-19 23:59:13+00,SQ,53.75,
2022-10-19 23:59:13+00,SQ,53.75,
2022-10-19 23:59:12+00,VZ,36.58,
2022-10-19 23:59:12+00,VZ,36.58,
2022-10-19 23:59:10+00,INTC,25.95,
2022-10-19 23:59:10+00,UBER,27.35,
2022-10-19 23:59:10+00,UBER,27.35,
2022-10-19 23:59:09+00,TSLA,207.82,
2022-10-19 23:59:08+00,AAPL,143.105,
2022-10-19 23:59:05+00,INTC,25.98,
2022-10-19 23:59:05+00,TSLA,207.8,
2022-10-19 23:59:05+00,GOOG,100.21,
2022-10-19 23:59:03+00,JNJ,164.69,
2022-10-19 23:59:03+00,AMZN,114,
2022-10-19 23:59:03+00,JNJ,164.69,
2022-10-19 23:59:02+00,AAPL,143.105,
2022-10-19 23:59:02+00,MS,77.21,
2022-10-19 23:59:02+00,MS,77.21,
2022-10-19 23:59:01+00,AMD,56.79,
2022-10-19 23:59:01+00,TSLA,207.825,
2022-10-19 23:58:59+00,CVX,168.23,
2022-10-19 23:58:58+00,ORCL,66.41,
2022-10-19 23:58:57+00,NFLX,270.77,
2022-10-19 23:58:57+00,TSLA,207.85,
2022-10-19 23:58:57+00,NVDA,118.93,
2022-10-19 23:58:57+00,SQ,53.76,
2022-10-19 23:58:57+00,SQ,53.76,
2022-10-19 23:58:56+00,IBM,126.2,
2022-10-19 23:58:55+00,IBM,126.02,
2022-10-19 23:58:55+00,NVDA,118.93,
2022-10-19 23:58:55+00,PG,129.54,
2022-10-19 23:58:54+00,TSLA,207.88,
2022-10-19 23:58:54+00,AMZN,114,
2022-10-19 23:58:53+00,NFLX,270.75,
2022-10-19 23:58:51+00,HD,275.36,
2022-10-19 23:58:51+00,HD,275.36,
2022-10-19 23:58:50+00,XOM,104.32,
2022-10-19 23:58:50+00,AAPL,143.08,
2022-10-19 23:58:50+00,TSLA,207.9,
2022-10-19 23:58:48+00,IBM,126.05,
2022-10-19 23:58:48+00,ORCL,66.41,
2022-10-19 23:58:47+00,TSLA,207.88,
2022-10-19 23:58:46+00,SQ,53.76,
2022-10-19 23:58:46+00,TSLA,207.99,
2022-10-19 23:58:46+00,MSFT,235.48,
2022-10-19 23:58:46+00,AMD,56.74,
2022-10-19 23:58:46+00,SQ,53.76,
2022-10-19 23:58:45+00,AMZN,114.05,
2022-10-19 23:58:44+00,TSLA,207.945,
2022-10-19 23:58:43+00,ORCL,66.41,
2022-10-19 23:58:42+00,TSLA,207.96,
2022-10-19 23:58:42+00,AAPL,143,
2022-10-19 23:58:42+00,QCOM,111.8,
2022-10-19 23:58:41+00,INTC,25.96,
2022-10-19 23:58:41+00,NFLX,270.77,
2022-10-19 23:58:41+00,PYPL,84.54,
2022-10-19 23:58:41+00,MSFT,234.53,
2022-10-19 23:58:41+00,AMD,56.78,
2022-10-19 23:58:40+00,SQ,53.68,
2022-10-19 23:58:40+00,AAPL,143,
2022-10-19 23:58:40+00,NVDA,118.91,
2022-10-19 23:58:39+00,AMD,56.78,
2022-10-19 23:58:38+00,NFLX,270.5,
2022-10-19 23:58:38+00,TSLA,207.895,
2022-10-19 23:58:36+00,UBER,27.35,
2022-10-19 23:58:35+00,TSLA,208,
2022-10-19 23:58:34+00,T,15.65,
2022-10-19 23:58:32+00,SNAP,10.87,
2022-10-19 23:58:32+00,SNAP,10.87,
2022-10-19 23:58:31+00,TSLA,207.825,
2022-10-19 23:58:31+00,AAPL,143.09,
2022-10-19 23:58:30+00,SNAP,10.88,
2022-10-19 23:58:30+00,GM,33.58,
2022-10-19 23:58:30+00,GM,33.58,
2022-10-19 23:58:29+00,SQ,53.75,
2022-10-19 23:58:28+00,NFLX,270.55,
2022-10-19 23:58:28+00,TSLA,207.87,
2022-10-19 23:58:28+00,KO,55.96,
2022-10-19 23:58:28+00,NVDA,119.06,
2022-10-19 23:58:28+00,KO,55.96,
2022-10-19 23:58:24+00,TSLA,207.91,
2022-10-19 23:58:24+00,NKE,88.15,
2022-10-19 23:58:24+00,NKE,88.15,
2022-10-19 23:58:20+00,TSLA,208,
2022-10-19 23:58:19+00,AMZN,114.05,
2022-10-19 23:58:17+00,NVDA,119,
2022-10-19 23:58:17+00,TSLA,207.95,
2022-10-19 23:58:16+00,CRM,152.96,
2022-10-19 23:58:15+00,MSFT,234.8,
2022-10-19 23:58:14+00,TSLA,208,
2022-10-19 23:58:14+00,GOOG,100.14,
2022-10-19 23:58:14+00,AMZN,114.05,
2022-10-19 23:58:13+00,SNAP,10.88,
2022-10-19 23:58:11+00,NFLX,270.77,
2022-10-19 23:58:10+00,TSLA,208,
2022-10-19 23:58:10+00,AAPL,143.055,
2022-10-19 23:58:08+00,IBM,126.05,
2022-10-19 23:58:08+00,NFLX,270.775,
2022-10-19 23:58:07+00,TSLA,208.06,
2022-10-19 23:58:06+00,MSFT,234.75,
2022-10-19 23:58:04+00,TSLA,208,
2022-10-19 23:58:04+00,DIS,98.78,
2022-10-19 23:58:04+00,DIS,98.78,
2022-10-19 23:58:03+00,IBM,126.05,
2022-10-19 23:58:03+00,AMZN,114.1,
2022-10-19 23:58:02+00,SNAP,10.88,
2022-10-19 23:58:02+00,NVDA,119,
2022-10-19 23:58:02+00,C,43,
2022-10-19 23:58:02+00,C,43,
2022-10-19 23:58:01+00,T,15.65,
2022-10-19 23:58:00+00,TSLA,208.1,
2022-10-19 23:57:59+00,ORCL,66.5,
2022-10-19 23:57:59+00,AAPL,142.96,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:59+00,C,43.12,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:59+00,ORCL,66.49,
2022-10-19 23:57:58+00,AMZN,114.15,
2022-10-19 23:57:58+00,AMD,56.79,
2022-10-19 23:57:57+00,TSLA,208.05,
2022-10-19 23:57:55+00,NFLX,270.77,
2022-10-19 23:57:55+00,CRM,152.98,
2022-10-19 23:57:53+00,TSLA,208.1,
2022-10-19 23:57:53+00,AAPL,143,
2022-10-19 23:57:52+00,XOM,104.21,
2022-10-19 23:57:51+00,BAC,33.82,
2022-10-19 23:57:51+00,MU,52.8,
2022-10-19 23:57:51+00,BAC,33.82,
2022-10-19 23:57:50+00,AAPL,142.975,
2022-10-19 23:57:50+00,GOOG,100.14,
2022-10-19 23:57:48+00,TSLA,208.05,
2022-10-19 23:57:46+00,TSLA,208.1,
2022-10-19 23:57:45+00,AAPL,142.95,
2022-10-19 23:57:44+00,TSLA,208.08,
2022-10-19 23:57:44+00,CAT,183.52,
2022-10-19 23:57:44+00,AMD,56.74,
2022-10-19 23:57:44+00,CAT,183.52,
2022-10-19 23:57:44+00,CAT,183.52,
2022-10-19 23:57:44+00,CAT,183.52,
2022-10-19 23:57:41+00,TSLA,208.08,
2022-10-19 23:57:41+00,AMZN,114.1,
2022-10-19 23:57:41+00,PYPL,84.53,
2022-10-19 23:57:40+00,NVDA,119.3,
2022-10-19 23:57:38+00,TSLA,208.2,
2022-10-19 23:57:37+00,SQ,53.7,
2022-10-19 23:57:36+00,KO,55.88,
2022-10-19 23:57:36+00,NKE,88.19,
2022-10-19 23:57:35+00,AAPL,142.95,
2022-10-19 23:57:35+00,MS,77.21,
2022-10-19 23:57:35+00,PFE,43.05,
2022-10-19 23:57:34+00,AAPL,143.025,
2022-10-19 23:57:34+00,NFLX,270.665,
2022-10-19 23:57:34+00,TSLA,208.2,
2022-10-19 23:57:33+00,SQ,53.7,
2022-10-19 23:57:31+00,UBER,27.4,
2022-10-19 23:57:31+00,UBER,27.4,
2022-10-19 23:57:31+00,UBER,27.4,
2022-10-19 23:57:30+00,TSLA,208.2,
2022-10-19 23:57:30+00,PYPL,84.54,
2022-10-19 23:57:28+00,NFLX,270.77,
2022-10-19 23:57:28+00,INTC,25.95,
2022-10-19 23:57:28+00,PYPL,84.54,
2022-10-19 23:57:26+00,TSLA,208.2,
2022-10-19 23:57:26+00,NVDA,119.19,
2022-10-19 23:57:23+00,AAPL,143.005,
2022-10-19 23:57:23+00,SNAP,10.82,
2022-10-19 23:57:23+00,SNAP,10.82,
2022-10-19 23:57:22+00,NFLX,270.54,
2022-10-19 23:57:21+00,AMD,56.725,
2022-10-19 23:57:21+00,TSLA,208.25,
2022-10-19 23:57:20+00,MS,77.21,
2022-10-19 23:57:20+00,MS,77.21,
2022-10-19 23:57:18+00,TSLA,208.24,
2022-10-19 23:57:18+00,INTC,25.95,
2022-10-19 23:57:17+00,AMAT,76.26,
2022-10-19 23:57:15+00,NVDA,119,
2022-10-19 23:57:14+00,AMD,56.73,
2022-10-19 23:57:14+00,TSLA,208.3,
2022-10-19 23:57:14+00,AMAT,76.35,
2022-10-19 23:57:11+00,TSLA,208.3,
2022-10-19 23:57:11+00,AMAT,76.35,
2022-10-19 23:57:09+00,NVDA,119.19,
2022-10-19 23:57:08+00,PFE,43.1,
2022-10-19 23:57:08+00,AAPL,143.065,
2022-10-19 23:57:08+00,PFE,43.1,
2022-10-19 23:57:07+00,TSLA,208.3,
2022-10-19 23:57:04+00,AMZN,114.07,
2022-10-19 23:57:04+00,NVDA,119,
2022-10-19 23:57:02+00,AMAT,76.35,
2022-10-19 23:57:02+00,TSLA,208.32,
2022-10-19 23:57:00+00,TSLA,208.365,
2022-10-19 23:57:00+00,NVDA,119.19,
2022-10-19 23:56:57+00,TSLA,208.4,
2022-10-19 23:56:55+00,AMZN,114.045,
2022-10-19 23:56:54+00,TSLA,208.4,
2022-10-19 23:56:53+00,TSLA,208.4,
2022-10-19 23:56:52+00,NFLX,270.66,
2022-10-19 23:56:52+00,NVDA,118.95,
2022-10-19 23:56:51+00,AAPL,143.04,
2022-10-19 23:56:49+00,NVDA,118.95,
2022-10-19 23:56:49+00,INTC,25.95,
2022-10-19 23:56:49+00,TSLA,208.385,
2022-10-19 23:56:49+00,AMD,56.72,
2022-10-19 23:56:47+00,MU,52.58,
2022-10-19 23:56:45+00,TSLA,208.39,
2022-10-19 23:56:44+00,TSLA,208.38,
2022-10-19 23:56:44+00,NVDA,119.165,
2022-10-19 23:56:43+00,JPM,116.2,
2022-10-19 23:56:43+00,JPM,116.2,
2022-10-19 23:56:42+00,V,186.3,
2022-10-19 23:56:40+00,DIS,98.79,
2022-10-19 23:56:40+00,TSLA,208.35,
2022-10-19 23:56:39+00,AAPL,142.95,
2022-10-19 23:56:38+00,AMZN,114.07,
2022-10-19 23:56:36+00,TSLA,208.5,
2022-10-19 23:56:35+00,AAPL,142.975,
2022-10-19 23:56:34+00,AMZN,114.07,
2022-10-19 23:56:34+00,V,186,
2022-10-19 23:56:32+00,TSLA,208.49,
2022-10-19 23:56:30+00,NVDA,119.38,
2022-10-19 23:56:29+00,TSLA,208.49,
2022-10-19 23:56:28+00,INTC,25.96,
2022-10-19 23:56:28+00,MU,52.79,
2022-10-19 23:56:28+00,NFLX,270.65,
2022-10-19 23:56:25+00,TSLA,208.575,
2022-10-19 23:56:24+00,AAPL,142.975,
2022-10-19 23:56:24+00,AMD,56.71,
2022-10-19 23:56:23+00,NVDA,118.955,
2022-10-19 23:56:21+00,TSLA,208.6,
2022-10-19 23:56:21+00,AMZN,114.01,
2022-10-19 23:56:20+00,NFLX,270.54,
2022-10-19 23:56:17+00,TSLA,208.6,
2022-10-19 23:56:14+00,TSLA,208.6,
2022-10-19 23:56:13+00,AMZN,114.005,
2022-10-19 23:56:10+00,TSLA,208.6,
2022-10-19 23:56:09+00,AMZN,114.13,
2022-10-19 23:56:07+00,INTC,25.93,
2022-10-19 23:56:06+00,TSLA,208.65,
2022-10-19 23:56:06+00,AAPL,142.99,
2022-10-19 23:56:04+00,NVDA,118.9299,
2022-10-19 23:56:03+00,NFLX,270.54,
2022-10-19 23:56:02+00,TSLA,208.61,
2022-10-19 23:56:02+00,AMZN,114.01,
2022-10-19 23:56:01+00,VZ,36.58,
2022-10-19 23:56:01+00,AMD,56.74,
2022-10-19 23:56:00+00,AMZN,114.13,
2022-10-19 23:55:59+00,AAPL,142.93,
2022-10-19 23:55:59+00,CVX,168.5,
2022-10-19 23:55:59+00,CVX,168.5,
2022-10-19 23:55:58+00,T,15.65,
2022-10-19 23:55:58+00,T,15.65,
2022-10-19 23:55:58+00,T,15.65,
2022-10-19 23:55:57+00,AMZN,114.07,
2022-10-19 23:55:57+00,TSLA,208.61,
2022-10-19 23:55:57+00,CVX,168.5,
2022-10-19 23:55:55+00,T,15.65,
2022-10-19 23:55:54+00,TSLA,208.6,
2022-10-19 23:55:51+00,TSLA,208.65,
2022-10-19 23:55:51+00,GOOG,100.01,
2022-10-19 23:55:49+00,MU,52.58,
2022-10-19 23:55:49+00,CRM,152.26,
2022-10-19 23:55:47+00,TSLA,208.5,
2022-10-19 23:55:46+00,CRM,152.05,
2022-10-19 23:55:45+00,TSLA,208.465,
2022-10-19 23:55:44+00,NFLX,270,
2022-10-19 23:55:41+00,TSLA,208.5,
2022-10-19 23:55:40+00,NFLX,270.65,
2022-10-19 23:55:39+00,SNAP,10.82,
2022-10-19 23:55:39+00,SNAP,10.82,
2022-10-19 23:55:38+00,TSLA,208.5,
2022-10-19 23:55:37+00,AMD,56.71,
2022-10-19 23:55:35+00,HD,275.1,
2022-10-19 23:55:35+00,HD,275.1,
2022-10-19 23:55:34+00,TSLA,208.46,
2022-10-19 23:55:33+00,AMZN,114.025,
2022-10-19 23:55:31+00,NVDA,118.88,
2022-10-19 23:55:30+00,TSLA,208.6,
2022-10-19 23:55:29+00,AAPL,142.985,
2022-10-19 23:55:28+00,NVDA,118.88,
2022-10-19 23:55:26+00,TSLA,208.65,
2022-10-19 23:55:26+00,NFLX,270.66,
2022-10-19 23:55:26+00,MU,52.58,
2022-10-19 23:55:24+00,XOM,104.21,
2022-10-19 23:55:24+00,TSLA,208.5,
2022-10-19 23:55:23+00,MO,44.65,
2022-10-19 23:55:23+00,AMZN,114.05,
2022-10-19 23:55:23+00,SNAP,10.82,
2022-10-19 23:55:23+00,SNAP,10.82,
2022-10-19 23:55:21+00,GM,33.43,
2022-10-19 23:55:20+00,TSLA,208.65,
2022-10-19 23:55:16+00,C,42.98,
2022-10-19 23:55:16+00,TSLA,208.65,
2022-10-19 23:55:16+00,C,42.98,
2022-10-19 23:55:16+00,C,42.98,
2022-10-19 23:55:15+00,AMZN,114.01,
2022-10-19 23:55:14+00,TSLA,208.61,
2022-10-19 23:55:12+00,SNAP,10.83,
2022-10-19 23:55:12+00,SNAP,10.83,
2022-10-19 23:55:11+00,KO,55.96,
2022-10-19 23:55:10+00,BA,137.9,
2022-10-19 23:55:10+00,BAC,33.86,
2022-10-19 23:55:10+00,AAPL,142.92,
2022-10-19 23:55:10+00,TSLA,208.61,
2022-10-19 23:55:10+00,NFLX,270.675,
2022-10-19 23:55:10+00,BAC,33.86,
2022-10-19 23:55:09+00,SNAP,10.83,
2022-10-19 23:55:09+00,CVX,168.27,
2022-10-19 23:55:08+00,TSLA,208.525,
2022-10-19 23:55:05+00,GOOG,100,
2022-10-19 23:55:04+00,TSLA,208.575,
2022-10-19 23:55:03+00,GOOG,100.15,
2022-10-19 23:55:03+00,AMZN,114.08,
2022-10-19 23:55:03+00,NVDA,118.88,
2022-10-19 23:55:03+00,AAPL,143,
2022-10-19 23:55:02+00,TSLA,208.6,
2022-10-19 23:55:01+00,DIS,98.79,
2022-10-19 23:54:59+00,PG,129.38,
2022-10-19 23:54:59+00,NFLX,270.65,
2022-10-19 23:54:59+00,PG,129.38,
2022-10-19 23:54:59+00,PG,129.38,
2022-10-19 23:54:58+00,TSLA,208.64,
2022-10-19 23:54:55+00,TSLA,208.6,
2022-10-19 23:54:53+00,XOM,104.21,
2022-10-19 23:54:52+00,AMZN,114,
2022-10-19 23:54:51+00,TSLA,208.7,
2022-10-19 23:54:49+00,T,15.65,
2022-10-19 23:54:48+00,TSLA,208.7,
2022-10-19 23:54:48+00,AMZN,114,
2022-10-19 23:54:46+00,NFLX,270.65,
2022-10-19 23:54:46+00,TSLA,208.7,
2022-10-19 23:54:45+00,QCOM,111.81,
2022-10-19 23:54:44+00,TSLA,208.7,
2022-10-19 23:54:41+00,TSLA,208.7,
2022-10-19 23:54:41+00,NVDA,118.8,
2022-10-19 23:54:40+00,AMZN,114.15,
2022-10-19 23:54:37+00,TSLA,208.69,
2022-10-19 23:54:36+00,NVDA,118.8,
2022-10-19 23:54:35+00,TSLA,208.69,
2022-10-19 23:54:35+00,NFLX,270.54,
2022-10-19 23:54:35+00,AMZN,114,
2022-10-19 23:54:32+00,TSLA,208.7,
2022-10-19 23:54:31+00,AMD,56.74,
2022-10-19 23:54:28+00,NFLX,270.62,
2022-10-19 23:54:28+00,TSLA,208.61,
2022-10-19 23:54:27+00,MSFT,235.25,
2022-10-19 23:54:25+00,TSLA,208.61,
2022-10-19 23:54:25+00,MSFT,235.25,
2022-10-19 23:54:23+00,TSLA,208.6,
2022-10-19 23:54:21+00,MSFT,235.25,
2022-10-19 23:54:19+00,TSLA,208.675,
2022-10-19 23:54:19+00,INTC,25.905,
2022-10-19 23:54:15+00,TSLA,208.6,
2022-10-19 23:54:14+00,T,15.65,
2022-10-19 23:54:13+00,AMZN,114.1,
2022-10-19 23:54:13+00,TSLA,208.63,
2022-10-19 23:54:09+00,TSLA,208.6,
2022-10-19 23:54:09+00,NVDA,118.8,
2022-10-19 23:54:08+00,DIS,98.79,
2022-10-19 23:54:07+00,T,15.65,
2022-10-19 23:54:07+00,AMZN,114.02,
2022-10-19 23:54:05+00,TSLA,208.6,
2022-10-19 23:54:04+00,MSFT,235.43,
2022-10-19 23:54:02+00,PYPL,84.54,
2022-10-19 23:54:01+00,TSLA,208.7,
2022-10-19 23:53:59+00,CRM,152.1,
2022-10-19 23:53:56+00,AMZN,114.02,
2022-10-19 23:53:55+00,TSLA,208.57,
2022-10-19 23:53:53+00,TSLA,208.6,
2022-10-19 23:53:52+00,NVDA,119,
2022-10-19 23:53:52+00,ZM,76.6,
2022-10-19 23:53:51+00,MSFT,235.25,
2022-10-19 23:53:51+00,GOOG,99.95,
2022-10-19 23:53:50+00,TSLA,208.65,
2022-10-19 23:53:50+00,NFLX,270.58,
2022-10-19 23:53:48+00,AMD,56.7,
2022-10-19 23:53:46+00,MSFT,235.25,
2022-10-19 23:53:46+00,AMD,56.74,
2022-10-19 23:53:46+00,TSLA,208.625,
2022-10-19 23:53:46+00,AAPL,142.95,
2022-10-19 23:53:45+00,NVDA,118.88,
2022-10-19 23:53:45+00,GE,70.52,
2022-10-19 23:53:45+00,GE,70.52,
2022-10-19 23:53:44+00,GOOG,100.05,
2022-10-19 23:53:44+00,AMD,56.725,
2022-10-19 23:53:43+00,INTC,25.905,
2022-10-19 23:53:43+00,TSLA,208.6,
2022-10-19 23:53:42+00,AAPL,143.05,
2022-10-19 23:53:42+00,MU,52.79,
2022-10-19 23:53:42+00,MSFT,235,
2022-10-19 23:53:41+00,NVDA,118.89,
2022-10-19 23:53:41+00,NFLX,270.5,
2022-10-19 23:53:38+00,TSLA,208.65,
2022-10-19 23:53:38+00,GOOG,99.975,
2022-10-19 23:53:36+00,TSLA,208.65,
2022-10-19 23:53:35+00,CVX,168.79,
2022-10-19 23:53:35+00,NVDA,118.65,
2022-10-19 23:53:35+00,CVX,168.79,
2022-10-19 23:53:35+00,CVX,168.79,
2022-10-19 23:53:33+00,SQ,53.75,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:32+00,TSLA,208.61,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:32+00,SNAP,10.85,
2022-10-19 23:53:29+00,TSLA,208.62,
2022-10-19 23:53:29+00,MSFT,235,
2022-10-19 23:53:26+00,AAPL,142.995,
2022-10-19 23:53:26+00,TSLA,208.62,
2022-10-19 23:53:26+00,TSLA,208.63,
2022-10-19 23:53:26+00,AMZN,114.2,
2022-10-19 23:53:26+00,GOOG,99.95,
2022-10-19 23:53:25+00,NVDA,118.77,
2022-10-19 23:53:25+00,MSFT,234.78,
2022-10-19 23:53:24+00,TSLA,208.65,
2022-10-19 23:53:24+00,AAPL,143.05,
2022-10-19 23:53:22+00,CMCSA,30.31,
2022-10-19 23:53:22+00,NFLX,270.5,
2022-10-19 23:53:21+00,PFE,43.11,
2022-10-19 23:53:21+00,NFLX,270.35,
2022-10-19 23:53:20+00,TSLA,208.62,
2022-10-19 23:53:20+00,NVDA,118.7,
2022-10-19 23:53:18+00,AAPL,142.94,
2022-10-19 23:53:18+00,AAPL,142.94,
2022-10-19 23:53:17+00,TSLA,208.65,
2022-10-19 23:53:15+00,MSFT,235,
2022-10-19 23:53:15+00,NVDA,118.7,
2022-10-19 23:53:15+00,AMD,56.7,
2022-10-19 23:53:14+00,TSLA,208.59,
2022-10-19 23:53:12+00,NFLX,270.5,
2022-10-19 23:53:12+00,INTC,25.89,
2022-10-19 23:53:12+00,MSFT,234.92,
2022-10-19 23:53:12+00,NVDA,118.7,
2022-10-19 23:53:12+00,AMZN,114.1,
2022-10-19 23:53:11+00,TSLA,208.65,
2022-10-19 23:53:11+00,AMD,56.72,
2022-10-19 23:53:10+00,T,15.65,
2022-10-19 23:53:09+00,AAPL,143.015,
